id,case_number,date,block,ucr_code,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,historical_wards,zip_code,community_area,census_tract,ward,boundary,police_district,police_beat
27382,JG184406,03/13/2023 06:40:00 PM,004XX E 88TH ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,632,6,8.0,44.0,01A,1180808.0,1846737.0,2023,01/19/2024 03:40:50 PM,41.734696692,-87.613181581,"(41.734696692, -87.613181581)",31.0,21546.0,40.0,407.0,43.0,61.0,20.0,241.0
27547,JH119907,06/05/2023 09:15:00 PM,020XX N KIMBALL AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,1413,14,26.0,22.0,01A,1153376.0,1913502.0,2023,01/19/2024 03:40:50 PM,41.918494462,-87.711911917,"(41.918494462, -87.711911917)",10.0,22535.0,23.0,321.0,49.0,1.0,7.0,185.0
26262,JE366265,09/08/2021 04:45:00 PM,047XX W HARRISON ST,110,HOMICIDE,FIRST DEGREE MURDER,CAR WASH,True,False,1131,11,24.0,25.0,01A,1144907.0,1896933.0,2021,09/14/2023 03:41:59 PM,41.873191445,-87.743446563,"(41.873191445, -87.743446563)",36.0,22216.0,26.0,69.0,14.0,32.0,16.0,143.0
28526,JH542649,12/14/2024 03:43:00 PM,002XX N PULASKI RD,110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,False,False,1122,11,28.0,26.0,01A,1149683.0,1901315.0,2024,12/22/2024 03:41:50 PM,41.885124736,-87.725797501,"(41.885124736, -87.725797501)",11.0,21572.0,27.0,659.0,23.0,30.0,16.0,83.0
27742,JG313518,06/24/2023 01:23:00 AM,054XX W JACKSON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1522,15,29.0,25.0,01A,1140264.0,1898137.0,2023,09/15/2023 03:41:25 PM,41.876581674,-87.760463999,"(41.876581674, -87.760463999)",52.0,22216.0,26.0,68.0,7.0,32.0,25.0,97.0
27735,JG415566,09/07/2023 09:47:00 PM,000XX E 79TH ST,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,False,False,623,6,6.0,69.0,01A,1177927.0,1852645.0,2023,09/15/2023 03:42:23 PM,41.750974623,-87.623557715,"(41.750974623, -87.623557715)",31.0,21546.0,67.0,475.0,32.0,61.0,20.0,228.0
28063,JH219178,04/10/2024 01:31:00 AM,071XX S STEWART AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,732,7,6.0,68.0,01A,1174859.0,1857613.0,2024,04/18/2024 03:40:59 PM,41.764676314,-87.634652467,"(41.764676314, -87.634652467)",31.0,21559.0,66.0,511.0,32.0,11.0,17.0,214.0
28527,JH543111,12/14/2024 10:35:00 PM,030XX W 21ST PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1022,10,24.0,30.0,01A,1156368.0,1889558.0,2024,12/22/2024 03:41:50 PM,41.852729812,-87.701566677,"(41.852729812, -87.701566677)",36.0,21569.0,32.0,201.0,14.0,57.0,21.0,152.0
28691,JJ249669,05/10/2025 03:26:00 PM,079XX S ESSEX AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,True,422,4,7.0,46.0,01A,1194232.0,1852910.0,2025,05/18/2025 03:41:36 PM,41.751317167,-87.563800456,"(41.751317167, -87.563800456)",43.0,21202.0,42.0,478.0,37.0,25.0,19.0,234.0
27696,JG380551,08/16/2023 09:13:00 PM,063XX S MAY ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,724,7,16.0,68.0,01A,1169740.0,1862733.0,2023,09/16/2023 03:41:56 PM,41.778838798,-87.653266576,"(41.778838798, -87.653266576)",19.0,21559.0,66.0,436.0,2.0,11.0,17.0,203.0
27736,JG416946,09/08/2023 11:24:00 PM,080XX S HERMITAGE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,611,6,17.0,71.0,01A,1166080.0,1851296.0,2023,09/16/2023 03:42:58 PM,41.747532761,-87.667009237,"(41.747532761, -87.667009237)",18.0,21554.0,70.0,574.0,13.0,59.0,20.0,231.0
27939,JH114017,01/12/2024 08:58:00 PM,084XX S VINCENNES AVE,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,False,622,6,21.0,71.0,01A,1173635.0,1848636.0,2024,03/15/2024 03:41:18 PM,41.740069496,-87.639404123,"(41.740069496, -87.639404123)",18.0,21554.0,70.0,529.0,13.0,59.0,20.0,236.0
27390,JG169965,03/11/2023 01:41:00 PM,045XX S DREXEL BLVD,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,221,2,4.0,39.0,01A,1182955.0,1875110.0,2023,09/17/2023 03:41:45 PM,41.812505323,-87.604434996,"(41.812505323, -87.604434996)",1.0,4301.0,5.0,398.0,10.0,36.0,24.0,114.0
27738,JG417122,09/09/2023 03:16:00 AM,080XX S UNION AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,621,6,6.0,71.0,01A,1173032.0,1851565.0,2023,09/17/2023 03:42:50 PM,41.748120376,-87.641527156,"(41.748120376, -87.641527156)",18.0,21554.0,70.0,529.0,13.0,59.0,20.0,229.0
27739,JG417220,09/09/2023 08:40:00 AM,120XX S PRAIRIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,532,5,9.0,53.0,01A,1180071.0,1825337.0,2023,09/17/2023 03:42:50 PM,41.675989111,-87.616534181,"(41.675989111, -87.616534181)",30.0,21861.0,50.0,504.0,43.0,19.0,10.0,219.0
27740,JG417330,09/09/2023 10:35:00 AM,049XX W 45TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,814,8,22.0,56.0,01A,1143971.0,1874344.0,2023,09/17/2023 03:42:50 PM,41.811221665,-87.747448869,"(41.811221665, -87.747448869)",35.0,22268.0,53.0,604.0,28.0,7.0,13.0,112.0
27867,JF528251,08/18/2023 06:09:00 AM,015XX N MILWAUKEE AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1424,14,1.0,24.0,01A,1163196.0,1910258.0,2023,11/20/2023 03:40:29 PM,41.909391776,-87.675923778,"(41.909391776, -87.675923778)",24.0,21560.0,25.0,481.0,41.0,4.0,7.0,200.0
27941,JH103662,01/13/2024 04:08:00 PM,009XX E 79TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,624,6,8.0,69.0,01A,1183767.0,1852820.0,2024,03/25/2024 04:29:54 PM,41.751320646,-87.602151846,"(41.751320646, -87.602151846)",9.0,21546.0,40.0,247.0,35.0,61.0,20.0,227.0
28688,JJ249047,05/10/2025 03:03:00 AM,063XX N BROADWAY,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2433,24,48.0,77.0,01A,1167151.0,1942254.0,2025,05/18/2025 03:41:36 PM,41.997106025,-87.660472077,"(41.997106025, -87.660472077)",46.0,4451.0,76.0,212.0,16.0,14.0,11.0,50.0
27940,JH114155,01/13/2024 12:26:00 AM,022XX W 21ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1234,12,25.0,31.0,01A,1161728.0,1890027.0,2024,01/21/2024 03:41:21 PM,41.853906896,-87.681880711,"(41.853906896, -87.681880711)",8.0,14920.0,33.0,4.0,26.0,43.0,15.0,121.0
28689,JJ249100,05/10/2025 04:09:00 AM,021XX S FAIRFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1023,10,25.0,30.0,01A,1158364.0,1889551.0,2025,05/18/2025 03:41:36 PM,41.852670072,-87.6942409,"(41.852670072, -87.6942409)",11.0,14920.0,32.0,203.0,1.0,43.0,21.0,151.0
